latitude,longitude,price
33.74232,-118.30168,30
34.08483,-118.36664,93
34.12057,-118.18934,210
34.0025,-118.4657,297
34.19226,-118.13738,99
34.11957,-118.32013,263
34.04682,-118.43568,139
33.99492,-118.45825,699
33.98798,-118.47245,130
33.96731,-118.41919,120
33.9943,-118.45642,1499
34.03948,-118.34081,105
33.83889,-118.38537,185
34.09928,-118.59125,150
34.15504,-118.6031,59
34.14461,-118.4158,200
33.91942,-118.20913,95
34.10942,-118.22003,375
33.84705,-118.19424,319
34.1674,-118.64293,89
34.11212,-118.32526,396
34.03735,-118.49205,550
34.11742,-118.78489,66
34.01204,-118.49715,128
34.02496,-118.38513,180
34.08256,-118.25296,75
33.99327,-118.44407,193
34.07332,-118.26331,150
34.06246,-118.27871,245
33.8271,-118.27944,79
34.01451,-118.8064,188
33.84731,-118.19586,277
34.11319,-118.32303,382
34.08587,-118.2648,116
34.00438,-118.45598,179
34.17324,-118.38833,39
34.10788,-118.37879,63
34.1414,-118.40714,225
34.03926,-118.38017,59
34.08851,-118.42911,999
34.04828,-118.23605,50
34.04884,-118.37155,80
34.09513,-118.36875,115
34.10336,-118.32366,132
33.91942,-118.20913,75
34.09385,-118.33157,155
34.10336,-118.32366,169
33.91942,-118.20913,75
34.20977,-118.16546,100
34.07967,-118.28379,125
34.06547,-118.40422,149
34.10632,-118.22361,59
34.0927,-118.36314,193
34.09574,-118.27788,135
34.13097,-118.70429,90
34.07103,-118.37869,265
34.02732,-118.51856,125
34.07885,-118.28709,60
34.10707,-118.19155,110
33.91942,-118.20913,75
34.08574,-118.28536,150
34.08023,-118.25646,120
34.16589,-118.12312,500
34.1831,-118.39929,70
34.01269,-118.40788,300
34.50806,-118.31934,68
34.11536,-118.33211,135
34.10236,-118.37752,700
34.10864,-118.32937,67
34.09729,-118.61616,101
34.0309,-118.75528,450
33.99344,-118.44295,100
33.99764,-118.46465,242
34.15533,-118.23708,75
34.04827,-118.23603,50
33.98844,-118.46765,190
34.03493,-118.4629,150
34.09641,-118.34979,115
34.04846,-118.5381,178
34.04572,-118.31367,35
34.1217,-118.26329,145
33.83951,-118.38002,70
34.18163,-118.39925,65
33.76901,-118.18119,83
33.99618,-118.45439,139
34.08517,-118.35453,114
33.98335,-118.46769,205
33.97975,-118.46494,189
34.09793,-118.61621,123
33.81127,-118.38859,119
33.9911,-118.47861,126
33.99795,-118.44521,175
33.77191,-118.39385,69
33.99927,-118.42641,118
34.09813,-118.61599,140
34.04827,-118.23603,50
33.89936,-118.25553,36
34.09014,-118.24872,106
34.15787,-118.32,115
34.04579,-118.31363,65
34.06923,-118.34549,195
34.08601,-118.3678,86
34.11224,-118.25668,184
34.07054,-118.89799,240
34.04612,-118.31176,35
34.04711,-118.31178,40
34.03862,-118.62243,1743
34.04621,-118.31188,65
34.10053,-118.24925,140
34.04717,-118.3121,35
34.12244,-118.36029,763
34.04656,-118.31408,35
34.04611,-118.31389,40
34.04609,-118.31187,35
34.15482,-118.10041,90
34.19141,-118.48034,95
34.0929,-118.27854,55
34.00199,-118.46025,50
34.03326035,-118.4914246,99
34.03592,-118.33382,131
33.98979,-117.91794,56
33.97751,-118.46282,300
34.16354,-118.45621,75
33.84692,-118.15613,50
34.00383,-118.46579,99
33.98831,-118.47154,69
34.08609,-118.27127,250
33.99009,-118.45531,150
34.11411,-118.31521,400
34.04775,-118.31315,35
33.99263,-118.46499,325
34.04636,-118.31195,35
34.0808,-118.27719,150
33.98325,-118.4672,235
33.99803,-118.47723,157
34.12448,-118.37604,1304
34.00882,-118.33335,150
34.18868,-118.50509,156
33.92483,-118.27031,147
33.87213,-118.39654,279
34.10336,-118.32366,147
33.76405,-118.14655,150
34.16675,-118.11573,52
33.99125,-118.3474,121
34.14731,-118.38454,285
34.08828,-118.2842,175
33.76813,-118.12382,125
33.76091,-118.12233,330
34.07173,-118.386,78
33.977921,-118.463158,202
34.09638,-118.33257,180
34.08267,-118.64594,360
34.09769,-118.61912,77
34.0785,-118.41364,270
34.09782,-118.61694,103
34.10039,-118.35362,110
34.11431,-118.42465,1350
34.16061,-118.371,59
34.1135,-118.16084,85
34.00758,-118.43713,69
34.09827,-118.352,107
34.06303,-118.36374,308
33.98185,-118.46691,664
34.03053,-118.37477,150
34.07283,-118.40735,300
33.76478,-118.13349,125
34.01044,-118.4206,129
34.03676,-118.49616,1100
34.12602,-118.65684,200
34.08708,-118.35434,114
34.09557,-118.34064,42
34.10336,-118.32366,179
34.08517,-118.36964,250
34.09059,-118.38378,100
34.02846,-118.51825,80
34.08669,-118.37113,329
34.02445,-118.49391,135
34.00323,-118.46589,164
34.08507,-118.3697,489
33.99243,-118.42503,250
33.90045,-118.40868,160
34.15898,-118.4593,100
34.09241,-118.28065,240
34.09322,-118.25024,160
33.91961,-118.42146,154
34.06418,-118.33978,67
33.98962,-118.42346,111
34.09517,-118.34399,300
34.07446,-118.25831,339
33.76371,-118.12497,169
34.07566,-118.22307,95
34.08115,-118.25549,140
33.76459,-118.13367,125
33.8634,-118.37026,75
33.98861,-118.45721,225
34.09123,-118.37953,185
34.00816,-118.46601,500
34.08898,-118.25007,181
33.98746,-118.46641,330
34.07645,-118.20635,154
34.06462,-118.4919,550
34.05479,-118.36375,95
34.07567,-118.25068,150
34.06824,-118.25268,63
34.09182,-118.3773,90
34.00858,-118.45334,140
33.85675,-118.39704,300
34.09258,-118.35655,110
34.09543,-118.35066,125
33.99168,-118.46671,190
33.99185,-118.47796,319
34.08899,-118.24415,69
34.09451,-118.27413,418
33.98682,-118.46196,350
34.09372,-118.118,95
33.99847,-118.46617,175
34.10839,-118.28976,120
34.07154,-118.25271,95
33.85446,-118.39645,131
34.21033,-118.61166,85
33.99357,-118.45584,100
34.04045,-118.2335,280
34.0667,-118.35127,175
34.11037,-118.38294,616
34.11307,-118.60925,265
34.03372,-118.47139,148
34.11737,-118.32114,170
34.12597,-118.22577,320
34.08655,-118.59557,239
34.10475,-118.26176,628
34.04805,-118.23797,42
33.83361,-118.18018,85
34.0967,-118.33316,149
34.20169,-118.50028,62
34.10854,-118.3145,450
34.07282,-118.59627,216
34.09749,-118.61543,107
33.98945,-118.4752,150
34.00351,-118.478,525
34.09513,-118.35534,108
34.0785,-118.41364,189
34.12887,-118.23526,85
34.08975,-118.2787,99
34.20834,-118.23681,245
34.0251,-118.48914,85
34.07273,-118.25646,278
34.08589,-118.26774,179
34.09113,-118.59885,350
34.04762,-118.3125,35
34.03074,-118.75723,300
34.17112,-118.36777,110
33.99826,-118.46464,257
34.08736,-118.35392,114
33.99325,-118.46191,399
33.91942,-118.20913,75
34.16958,-118.65344,85
33.99518,-118.46315,240
34.05165,-118.33828,155
34.03269,-118.49377,169
34.04734,-118.31183,35
34.04738,-118.31411,35
34.18268,-118.59633,120
34.06645,-118.3521,89
34.16533,-118.35153,99
34.15438,-118.08306,70
34.06276,-118.35221,65
34.09995,-118.32801,65
34.05045,-118.43675,99
34.07507,-118.2085,132
34.0488,-118.43408,87
34.10038,-118.33003,65
33.99849,-118.43987,237
33.91961,-118.42146,80
34.16276,-118.46502,141
34.02801,-118.40921,50
34.16188,-118.39776,443
34.08523,-118.27088,250
34.07507,-118.20844,79
34.11599,-118.18593,139
34.09955,-118.35216,100
33.96523,-118.43159,132
33.83054,-118.25119,60
33.90041,-118.40844,140
34.1016,-118.32992,65
34.00985,-118.40897,345
34.03269,-118.49377,209
34.10239,-118.32851,65
34.07937,-118.26531,99
33.83605,-118.38693,610
34.07464,-118.25778,139
33.77686,-118.32595,275
34.03269,-118.49377,209
34.11262,-118.3071,75
34.08346,-118.25704,97
33.99761,-118.41768,65
34.02809,-118.48321,275
34.10706,-118.16624,95
34.07537,-118.2562,50
33.99495,-118.4549,129
34.15858,-118.61546,66
34.05249,-118.54963,450
34.03327,-118.42568,400
34.16484,-118.33,193
34.06759,-118.38192,242
34.20838,-118.56482,55
33.95674,-118.4312,73
33.98854,-118.43798,215
34.08227,-118.59944,225
33.85408,-118.39836,2000
34.06329,-118.37188,159
34.14511,-117.99678,135
33.7742,-118.3922,89
33.98218,-118.4703,128
33.99796,-118.4775,169
34.08974,-118.27021,95
34.19134,-118.52282,254
33.99436,-118.47841,350
34.17635,-118.57944,529
34.04548,-118.19711,48
34.10813,-118.34098,400
33.98435,-118.42873,219
34.01099,-118.47314,137
34.17607,-118.37483,220
33.98672,-118.44694,138
34.20465,-118.43063,70
34.05881,-118.4252,150
34.08821,-118.60282,136
33.99254,-118.47777,220
33.8733,-118.37391,164
33.99266,-118.47685,250
34.00961,-118.40798,165
34.00952,-118.40946,365
34.07137,-118.34399,120
34.25572,-118.28313,45
34.0962,-118.61714,97
34.17075,-118.6194,250
34.08595,-118.3779,163
34.00288,-118.44749,459
34.09351,-118.32837,132
33.99528,-118.47331,60
34.03424,-118.3732,85
34.04795,-118.31315,40
34.09478,-118.25644,130
34.0869,-118.34993,90
34.09689,-118.25959,125
33.79112,-118.32483,157
33.7874,-118.2981,250
33.99976,-118.44869,129
34.1646,-118.51952,35
33.97886,-118.03569,275
34.08867,-118.24945,236
34.06791,-118.34731,165
33.987,-117.89577,50
34.16283,-118.13643,100
34.09408,-118.35536,228
34.1795,-118.37155,42
34.10429,-118.31237,261
34.07783,-118.2766,139
34.03858,-118.32636,99
34.21665,-118.443,50
33.97443,-118.46076,224
34.07695,-118.20819,73
34.08427,-118.27535,446
34.0423,-118.35986,75
33.98947,-118.46676,329
34.15816,-118.1414,100
34.21181,-118.16425,150
34.04827,-118.23603,50
34.07102,-118.26537,95
33.99355,-118.47749,175
34.04827,-118.23603,50
34.04827,-118.23603,50
33.84515,-118.1563,50
34.04935,-118.23554,34
34.03397,-118.46362,275
34.02675,-118.40067,106
34.1069,-118.34078,149
34.10722,-118.26281,106
34.00236,-118.47622,100
34.07688,-118.3854,107
34.1129,-118.15583,128
34.19019,-118.12255,185
34.10464,-118.347,129
34.02301997,-118.505382,158
33.95375,-118.43756,175
34.18314,-118.1522,86
33.96165,-118.45234,189
34.08698,-118.39071,395
34.04917,-118.23561,50
34.15725,-118.73446,99
33.76606,-118.16676,72
34.10654,-118.36747,325
34.08518,-118.35108,85
34.08587,-118.2902,74
34.19277,-118.63494,85
34.03832,-118.22993,159
34.13039,-118.34505,108
33.99288,-118.47384,100
34.10051,-118.37997,175
34.10658,-118.31131,87
33.99932,-118.45371,249
34.09172,-118.33226,179
34.07036,-118.38114,146
34.09962,-118.34291,55
34.08141,-118.3206,199
34.09151,-118.36679,300
33.97539,-118.46153,325
34.09357,-118.81398,2170
34.00171,-118.46581,215
34.09192,-118.33974,117
34.09325,-118.35739,108
34.14914,-118.45581,120
34.03956,-118.33178,99
34.09261,-118.86987,252
34.1152,-118.31863,695
34.00025,-118.47771,579
34.04245,-118.30607,170
34.04778,-118.23537,41
34.07913,-118.33916,100
33.97758,-118.4612,99
34.08485,-118.34257,399
34.11171,-118.43834,10000
34.0915,-118.37306,1000
33.994068,-118.46257,240
33.99736,-118.46766,119
34.02582,-118.46326,95
34.10814,-118.33978,152
33.98353,-118.4697,265
34.05013,-118.43715,115
34.09307,-118.28015,120
34.0502,-118.45962,170
34.17893,-118.13366,100
34.08267,-118.34311,95
33.99854,-118.42428,217
33.98887,-118.47356,69
34.15791,-118.41551,56
34.14954,-118.5951,115
34.08099,-118.20263,350
34.0945,-118.32621,146
34.03309,-118.74573,1561
34.08282,-118.35294,130
34.08025,-118.5981,395
33.76572,-118.17947,160
34.08871,-118.59569,179
33.99820328,-118.3915024,129
34.11166,-118.28451,499
34.09361,-118.27665,119
33.97715,-118.46291,299
34.102474,-118.363663,1106
33.89067,-118.41283,989
34.06461,-118.34185,850
34.13048,-118.46677,896
34.05249,-118.39533,125
33.91857,-118.42108,369
34.09782,-118.34075,130
34.17056,-118.36234,145
33.95116,-118.4451,513
33.83315,-118.18019,88
34.08334,-118.27363,164
34.10057,-118.37408,226
34.08044,-118.36695,75
33.97756,-118.46306,254
34.04734,-118.23624,50
34.09386,-118.27895,521
34.09409,-118.34862,170
34.0375,-118.3253,99
34.19474,-118.14055,102
34.03858,-118.32636,99
33.77555,-118.19571,176
34.0122,-118.46316,90
34.00317,-118.47928,297
34.15927,-118.26831,125
34.0574,-118.35775,73
34.11604,-118.26009,100
34.17753,-118.13531,100
33.95328,-118.43667,125
34.09119,-118.43816,235
34.06478,-118.39512,114
34.02487,-118.45276,290
34.002216,-118.432892,78
34.02778,-118.36516,64
33.98302,-118.46284,932
34.04944,-118.43734,107
34.02715,-118.49267,116
34.14791,-118.46739,230
34.15707,-118.31684,98
34.0699,-118.36905,143
34.06987,-118.36887,192
34.09275,-118.37153,144
34.0741,-118.41643,130
33.98267,-118.46868,180
34.10581,-118.33976,280
34.01638,-118.35122,100
34.07315,-118.25886,140
34.04858,-118.4343,76
34.0415,-118.33888,119
33.97757,-118.46175,95
34.08619,-118.26862,493
34.10012,-118.27413,95
34.12274,-118.35758,875
34.0265,-118.44157,50
34.10584,-118.25647,90
34.08713,-118.41161,750
33.78985,-118.2037,231
33.99706,-118.44991,500
34.08181,-118.37183,364
34.08678,-118.24957,110
34.15356,-118.08504,65
33.99484,-118.48106,250
34.07619,-118.25415,85
34.13586,-118.07095,130
34.094,-118.34618,98
34.07832,-118.270523,95
34.14807,-118.59683,367
33.81491,-118.09717,66
34.08085,-118.35932,140
33.99743,-118.44018,255
34.12793,-118.32083,325
33.88605,-118.37063,215
33.99977,-118.44954,215
34.16141,-118.10509,89
34.04331,-118.25037,150
34.08478,-118.38886,280
34.04827,-118.23603,50
34.16913,-118.46047,50
34.09338,-118.26108,50
34.08541,-118.34383,250
34.10948,-118.19055,203
34.14937,-118.2475,240
34.02517,-118.42694,69
34.10367,-118.62536,150
33.84645,-118.39058,134
34.1598,-118.14271,100
34.08387,-118.27427,89
34.10791,-118.16664,125
34.02761,-118.40958,44
34.09226,-118.33893,109
34.01798,-118.41585,450
33.99798,-118.39764,180
33.99635,-118.46916,215
34.09281,-118.37074,107
34.04181,-118.88698,382
34.09252,-118.32771,229
34.00774,-118.48142,79
34.05424,-118.3573,443
34.04225,-118.47908,67
34.11084,-118.39099,800
34.10630014,-118.2698028,318
34.108788,-118.339195,365
33.99639,-118.47193,68
34.04439,-118.38563,60
34.04392,-118.47059,66
33.99556,-118.45307,121
34.00135,-118.47714,70
34.01301,-118.48384,87
34.08282,-118.35294,140
34.12204,-118.18361,60
34.09417,-118.27251,100
33.99938,-118.42351,149
34.08114,-118.28315,150
34.26401,-118.3161,100
34.00681,-118.31471,45
34.08812,-118.45882,958
34.04827,-118.23603,60
34.0978,-118.60159,141
34.11611,-118.32357,225
34.08985,-118.37689,164
34.1012,-118.26824,140
34.04827,-118.23603,50
33.74833,-118.40634,64
34.09838,-118.25438,168
33.98835,-118.47015,300
34.05457,-118.37962,12
34.04827,-118.23603,40
34.01435,-118.39237,595
33.98834,-118.46038,300
34.10051,-118.37997,175
34.14192,-118.21572,120
34.11002,-118.28962,70
34.1,-118.32807,64
34.57221,-118.13674,70
34.0886,-118.37659,100
34.10145,-118.32816,65
34.09596,-118.35302,64
34.10024,-118.32759,64
34.08419,-118.27837,268
34.06124,-118.34656,98
34.10136,-118.32788,65
33.7678,-118.1809,45
34.10231,-118.32907,65
34.04269,-118.23678,179
34.06549,-118.34901,80
33.81992,-118.38468,520
34.11296,-118.32389,536
34.02788,-118.49326,78
34.05591,-118.32507,151
34.11953,-118.32508,130
33.99905,-118.46518,189
34.03312,-118.43858,159
34.13711,-118.12978,212
34.10527,-118.62838,167
33.97789,-118.46243,175
34.17716,-118.13545,112
34.08173,-118.3732,182
34.09475,-118.37055,61
34.01175,-118.43002,230
34.09771,-118.28621,231
34.07428,-118.38686,119
34.08019,-118.32747,175
34.10681,-118.27555,105
34.00876,-118.81379,330
34.00868,-118.45281,190
33.91304,-118.35306,56
34.09757,-118.3738,1200
34.10171,-118.22505,75
34.08224,-118.36561,119
34.1376,-118.34228,73
34.10692,-118.62826,111
34.009,-118.8147,595
34.04233,-118.46441,169
34.05708,-118.31879,130
34.09916,-118.59297,250
33.85813,-118.39369,250
34.08593,-118.2506,121
34.01096,-118.81384,795
34.09565,-118.18574,64
34.17007,-118.46056,50
34.08834,-118.36624,220
34.05862,-118.32505,115
34.02251,-118.50066,99
34.2018,-118.54782,110
34.10868,-118.33835,120
33.99284,-118.46732,500
34.02778,-118.49294,114
34.08299,-118.3573,65
34.02924,-118.49325,115
34.16759,-118.38738,72
34.1129,-118.25158,137
34.06619,-118.28643,50
34.0864,-118.33492,156
33.84099,-118.38503,539
34.08066,-118.25865,92
34.19589,-118.11941,100
34.09467,-118.26853,175
33.89661,-118.41484,295
34.08822,-118.35561,349
33.90122,-118.40155,350
34.14619,-118.39932,222
34.08083,-118.1092,70
34.08932,-118.29512,92
34.04682,-118.5292,235
34.1185,-117.80062,64
34.08163,-118.35219,250
33.99728,-118.48254,525
34.05367,-118.37901,45
34.03588,-118.22915,139
34.11292,-118.37515,325
34.1606,-118.26255,264
34.0893,-118.24568,227
34.07455,-118.29832,285
34.0822,-118.26808,165
34.09711,-118.27649,125
34.09688,-118.36523,135
34.02497,-118.79521,125
34.11146,-118.21216,144
34.11225,-118.33279,140
34.1087,-118.43367,595
34.10664,-118.34135,83
34.05369,-118.43683,121
34.07926,-118.32069,250
34.04368,-118.74075,262
34.0504,-118.2459,150
33.77511,-118.17571,153
33.73096,-118.29905,150
34.09483,-118.35429,94
33.99521,-118.45409,169
34.11028,-118.22064,186
34.08919,-118.32434,200
34.1136,-118.17812,60
33.99334,-118.43392,85
33.87982,-118.40363,500
34.09825,-118.33655,54
34.03654,-118.47378,109
34.03491,-118.46739,200
34.18539,-118.15206,235
33.99808,-118.45645,700
34.11419,-118.1767,47
33.99134,-118.45566,88
34.16542,-118.32879,104
34.12992,-118.34506,111
33.97948,-118.46729,170
34.12075,-118.17743,175
34.24909,-118.5344,55
34.05978,-118.28741,146
34.09419,-118.25122,600
34.06363,-118.35211,79
33.98532,-118.4531,265
33.88828,-118.38957,120
33.99855,-118.41624,150
33.77668,-118.17343,140
33.99195,-118.45463,140
34.1094,-118.34235,211
33.96193,-118.4541,1019
34.14674,-118.34179,135
34.04235,-118.35162,52
34.0903,-118.28209,89
34.00897,-118.48129,134
33.75694,-118.12398,99
34.09711,-118.38121,420
33.98721,-118.42083,130
33.98405838,-118.4704056,349
34.03168,-118.44018,179
34.0812,-118.26558,285
34.09274,-118.34756,206
34.16731,-118.64508,98
33.98353,-118.46441,397
33.91942,-118.20913,75
33.98682,-118.42494,110
34.13791,-118.34001,65
33.99415,-118.47224,189
34.08212,-118.35752,149
33.819183,-118.175247,130
34.15829,-118.69731,110
34.09463,-118.3027,115
33.91835,-118.40822,100
34.01791,-118.399,159
33.98929,-118.29771,49
34.09515,-118.21371,250
33.9187,-118.40983,100
34.1819,-118.38086,47
34.07675,-118.3909,141
33.99052,-118.46527,139
34.04995,-118.41494,250
33.87716,-118.36775,99
34.04759,-118.39392,95
34.09788,-118.33864,54
34.14766,-118.40721,217
34.16103,-117.97922,350
34.04924,-118.53396,1795
34.10547,-118.23504,85
34.15602,-118.38246,75
34.09896,-118.21412,290
34.04511,-118.35946,128
34.17935,-118.1358,124
34.09373,-118.33565,500
34.04792,-118.22253,65
34.10591,-118.19767,63
34.01696,-117.89129,258
34.08705,-118.3504,85
33.95695,-118.44053,275
34.04103,-118.4843,90
34.03359,-118.46913,62
34.04603,-118.36303,180
34.1156,-118.37448,2321
34.05049,-118.46906,120
34.15879,-118.37348,70
34.07496,-118.36943,200
34.09335,-118.27285,580
34.09808,-118.35538,181
34.10898,-118.33207,204
33.99019,-118.47637,180
34.2971,-118.43554,99
34.07104,-118.36672,200
34.12002,-118.32136,404
34.13205,-118.36303,275
34.29564,-118.4381,99
33.89878,-118.41573,450
34.14975,-118.11978,114
34.07157,-118.31199,200
33.85904,-118.38391,250
33.99379,-118.47855,336
34.0907,-118.37879,250
34.12599,-118.19291,145
34.10898,-118.39163,935
34.02461,-118.48571,191
33.90052,-118.41685,450
33.98473,-118.46583,750
34.09657,-118.43427,500
34.10766,-118.37301,400
34.09069,-118.24688,100
33.98351,-118.46748,100
34.00952,-118.49413,120
33.98403,-118.47005,239
34.0804,-118.26177,129
33.9214,-118.41925,413
33.8229,-118.19185,240
34.08835,-118.38317,135
34.00855,-118.47774,77
34.15726,-118.63245,106
34.08291,-118.88406,1600
34.19093,-118.59068,47
34.05274,-118.36811,100
34.08585,-118.34293,85
34.04825,-118.38791,117
34.04827,-118.23603,50
34.0809,-118.28831,140
33.99345,-118.46259,375
34.0864,-118.27206,120
34.04956,-118.4667,135
34.11432,-118.27487,39
34.04296,-118.31844,29
34.10183,-118.26616,529
34.03594,-118.40945,89
33.8117,-118.39008,425
34.10616,-118.34621,95
34.0034,-118.46261,80
33.98455,-118.46902,295
34.02876,-118.49254,95
34.08836,-118.37109,113
34.07708,-118.3877,190
34.16474,-118.60235,105
34.09002,-118.18544,95
34.10725,-118.3606,302
34.09006,-118.18683,145
33.98307,-118.46929,150
33.96021,-118.34864,90
34.13398,-118.37988,907
33.98521,-118.44507,249
33.99774,-118.40102,88
33.99651,-118.47164,80
33.9884,-118.47433,75
34.09398,-118.36148,100
34.07701,-118.27781,200
34.13565,-118.38017,250
33.88895,-118.41013,63
34.0509,-118.25448,165
34.04307,-118.55404,149
34.03448,-118.38417,110
34.15363,-118.14605,122
33.98551,-118.45433,225
34.19072,-118.47426,85
34.15728,-118.3414,110
33.99376,-118.46168,250
34.07649,-118.30286,75
33.71288,-118.29126,200
33.99321,-118.47694,105
34.0976,-118.33695,59
34.04327,-118.88437,282
34.0249,-118.41321,57
33.75706,-118.13322,139
34.0395,-118.48144,746
33.87377,-118.19683,199
34.02835,-118.28725,50
34.13461,-118.21715,85
34.13111,-118.1663,159
34.09323,-118.28062,119
34.07801,-118.39084,163
34.15684,-118.6971,100
34.0812,-118.3284,65
34.0852,-118.34847,445
34.17319,-118.12242,121
34.09957,-118.26784,153
34.04433,-118.25124,159
34.09379,-118.31965,80
34.04272,-118.30163,354
34.044331,-118.251244,159
34.06182,-118.36428,215
34.00256,-118.476,85
34.05437,-118.40225,200
34.04808,-118.25537,139
34.04929,-118.43575,111
34.05557,-117.86209,125
34.01672,-118.46664,85
34.18978,-118.15936,35
34.04869,-118.43388,107
33.99562,-118.4723,95
34.19915,-118.34977,145
34.08766,-118.38276,125
33.87188,-118.38593,120
34.10252,-118.26965,400
34.11516,-118.34403,725
34.1559,-118.11441,98
34.09328,-118.28153,121
34.17314,-118.1112,550
33.98315,-118.46924,120
33.70549,-118.28969,165
34.12604,-118.19329,125
34.03421,-118.2725,78
34.04953,-118.53995,68
34.10658,-118.32389,95
33.84516,-118.37559,371
33.98955,-118.47614,99
33.97297,-118.38414,400
34.08646,-118.24969,175
34.04262,-118.46882,44
34.07347,-118.36546,275
33.98463,-118.47103,235
34.11816,-118.32445,78
34.14757,-118.34368,135
33.83615,-118.38814,120
34.10088,-118.36484,95
34.16174,-118.30256,38
33.77,-118.18702,240
33.8528,-118.39888,188
34.01704,-118.41162,50
34.02553,-118.77886,1143
33.86524,-118.40146,120
34.06323,-118.25859,135
34.10154,-118.28377,60
34.17302,-118.11019,42
34.21405,-118.53222,32
34.16044,-118.10502,350
34.16204,-118.48089,115
34.0076,-118.46759,120
34.09182,-118.25352,107
33.97638,-118.46521,150
34.03861,-118.38421,336
34.10176,-118.26951,144
34.1926,-118.63729,190
34.00329,-118.42727,75
34.12782,-118.14286,345
34.10634,-118.36624,75
34.16372,-118.46483,275
34.0631,-118.30003,55
34.09573,-118.16909,79
34.18028,-118.40047,147
34.08127,-118.37443,85
34.09932,-118.25426,386
34.14354,-118.11175,198
34.08139,-118.39051,120
34.05141,-118.53861,79
34.08549,-118.34833,119
34.11232,-118.28966,90
34.02288,-118.49851,133
34.17937,-118.13556,290
33.82403,-118.37425,91
34.20498,-118.13553,194
34.10392,-118.34016,42
34.11935,-118.80448,275
34.00959,-118.49415,105
34.10908,-118.01735,100
34.14255,-118.44151,68
34.04377,-118.38383,75
34.1042,-118.36465,1249
34.10248,-118.3415,42
34.1047,-118.34021,100
34.03422,-118.47398,204
34.10245,-118.34215,120
33.87876,-118.39894,701
34.11707,-118.23089,221
34.08866,-118.27839,227
34.10413,-118.34205,120
34.00501,-118.48742,2307
34.16545,-118.69618,70
34.16316,-118.16377,300
34.17174,-118.10923,53
34.13089,-118.13761,82
33.99336,-118.46196,500
34.13563,-118.34555,138
34.00348,-118.39123,200
33.98986,-118.467,296
34.07149,-118.3904,75
34.08819,-118.2455,200
34.1006,-118.25454,99
34.04754,-118.24025,110
33.87218,-118.40451,2000
34.04333,-118.32021,29
34.14482,-118.42232,105
34.00796,-118.48839,1495
33.96964,-118.35469,143
34.00985,-118.43589,139
34.16548,-118.16454,75
34.04692,-118.35772,72
34.07869,-118.25758,128
34.16238,-118.61543,83
34.05677,-118.38616,70
34.13497,-118.23456,185
34.09706,-118.3349,409
34.10234,-118.21222,575
34.15656,-117.98795,69
34.10509,-118.31491,91
34.28555,-118.49617,110
33.83968,-118.38752,264
34.15503,-118.34432,180
34.04827,-118.23603,50
34.09328,-118.30301,93
34.05063,-118.4383,90
34.00959,-118.49415,99
33.82016,-118.11825,200
33.99641,-118.44755,80
34.11324,-118.1591,195
34.12521,-118.15544,600
34.04943,-118.41634,95
33.86397,-118.13564,99
34.13153,-118.35775,135
33.99089,-117.93617,85
34.16331,-118.45461,179
34.06079,-118.36822,1000
33.99579,-118.44673,76
33.99604,-118.46593,165
34.02533,-118.39512,106
33.75465,-118.13322,589
34.13578,-118.18416,182
34.0664,-118.36917,250
34.08699,-118.27082,100
